,date,inflation
0,1968-02-01,2.873563218390805
1,1968-03-01,3.1700288184437877
2,1968-04-01,4.034582132564838
3,1968-05-01,4.335260115606936
4,1968-06-01,3.7572254335260236
5,1968-07-01,3.438395415472767
6,1968-08-01,3.409090909090917
7,1968-09-01,3.9548022598870016
8,1968-10-01,4.261363636363636
9,1968-11-01,3.977272727272723
10,1968-12-01,4.261363636363636
11,1969-01-01,3.966005665722376
12,1969-02-01,3.6516853932584183
13,1969-03-01,3.921568627450996
14,1969-04-01,3.9106145251396613
15,1969-05-01,3.888888888888885
16,1969-06-01,4.986149584487527
17,1969-07-01,5.524861878453039
18,1969-08-01,5.4945054945054945
19,1969-09-01,5.73770491803279
20,1969-10-01,5.191256830601089
21,1969-11-01,6.267029972752034
22,1969-12-01,7.103825136612025
23,1970-01-01,7.065217391304353
24,1970-02-01,7.5675675675675595
25,1970-03-01,7.027027027027012
26,1970-04-01,6.9892473118279606
27,1970-05-01,6.9518716577540145
28,1970-06-01,5.866666666666674
29,1970-07-01,5.263157894736842
30,1970-08-01,4.687499999999993
31,1970-09-01,4.404145077720196
32,1970-10-01,4.651162790697667
33,1970-11-01,3.3678756476684044
34,1970-12-01,2.3136246786632357
35,1971-01-01,2.030456852791871
36,1971-02-01,1.7676767676767748
37,1971-03-01,2.7638190954773907
38,1971-04-01,3.01507537688443
39,1971-05-01,2.9999999999999893
40,1971-06-01,3.491271820448874
41,1971-07-01,3.482587064676613
42,1971-08-01,3.7128712871287126
43,1971-09-01,2.9702970297029774
44,1971-10-01,2.9702970297029774
45,1971-11-01,3.465346534653462
46,1971-12-01,4.2288557213930416
47,1972-01-01,3.970223325062038
48,1972-02-01,5.198019801980202
49,1972-03-01,4.444444444444455
50,1972-04-01,3.6674816625916873
51,1972-05-01,3.398058252427198
52,1972-06-01,3.1476997578692427
53,1972-07-01,3.6057692307692304
54,1972-08-01,3.588516746411483
55,1972-09-01,4.5346062052505935
56,1972-10-01,4.567307692307689
57,1972-11-01,5.048076923076927
58,1972-12-01,4.567307692307689
59,1973-01-01,6.428571428571435
60,1973-02-01,6.904761904761901
61,1973-03-01,9.154929577464785
62,1973-04-01,10.538641686182668
63,1973-05-01,11.709601873536299
64,1973-06-01,12.646370023419198
65,1973-07-01,12.587412587412599
66,1973-08-01,18.244803695150114
67,1973-09-01,17.28110599078341
68,1973-10-01,17.24137931034483
69,1973-11-01,18.16091954022988
70,1973-12-01,18.53546910755149
71,1974-01-01,18.451025056947596
72,1974-02-01,19.01565995525727
73,1974-03-01,17.362637362637358
74,1974-04-01,15.450643776824025
75,1974-05-01,15.04237288135592
76,1974-06-01,14.04612159329141
77,1974-07-01,13.250517598343684
78,1974-08-01,9.445585215605751
79,1974-09-01,11.111111111111118
80,1974-10-01,11.960784313725494
81,1974-11-01,11.76470588235294
82,1974-12-01,12.209302325581389
83,1975-01-01,11.346153846153857
84,1975-02-01,9.280303030303028
85,1975-03-01,8.148148148148145
86,1975-04-01,8.073394495412842
87,1975-05-01,7.720588235294123
88,1975-06-01,8.941605839416056
89,1975-07-01,11.090909090909093
90,1975-08-01,9.437386569872963
91,1975-09-01,7.692307692307687
92,1975-10-01,7.583774250440911
93,1975-11-01,7.005253940455342
94,1975-12-01,6.250000000000003
95,1976-01-01,5.488850771869632
96,1976-02-01,4.770017035775135
97,1976-03-01,4.074702886247875
98,1976-04-01,4.584040747028868
99,1976-05-01,4.761904761904757
100,1976-06-01,3.728813559322039
101,1976-07-01,2.170283806343902
102,1976-08-01,2.450980392156863
103,1976-09-01,2.1276595744680806
104,1976-10-01,1.639344262295082
105,1976-11-01,0.9771986970684062
106,1976-12-01,0.8116883116883116
107,1977-01-01,1.615508885298869
108,1977-02-01,4.200323101777051
109,1977-03-01,5.3484602917341935
110,1977-04-01,6.19902120717781
111,1977-05-01,6.178861788617882
112,1977-06-01,6.634304207119744
113,1977-07-01,6.44122383252818
114,1977-08-01,6.560000000000002
115,1977-09-01,6.709265175718854
116,1977-10-01,6.581059390048156
117,1977-11-01,7.532051282051287
118,1977-12-01,7.556270096463015
119,1978-01-01,8.333333333333327
120,1978-02-01,7.472178060413359
121,1978-03-01,8.087091757387252
122,1978-04-01,8.668730650154814
123,1978-05-01,9.49464012251149
124,1978-06-01,10.213414634146346
125,1978-07-01,10.422960725075537
126,1978-08-01,10.225563909774433
127,1978-09-01,10.644677661169407
128,1978-10-01,11.278195488721805
129,1978-11-01,11.127819548872168
130,1978-12-01,11.659192825112124
131,1979-01-01,12.369597615499274
132,1979-02-01,12.92217327459618
133,1979-03-01,12.608695652173918
134,1979-04-01,11.891117478510026
135,1979-05-01,11.283497884344145
136,1979-06-01,10.167130919220051
137,1979-07-01,10.013717421124824
138,1979-08-01,9.536784741144414
139,1979-09-01,9.795918367346943
140,1979-10-01,9.78260869565218
141,1979-11-01,9.729729729729733
142,1979-12-01,10.094212651413189
143,1980-01-01,8.945260347129489
144,1980-02-01,7.460732984293197
145,1980-03-01,7.455012853470433
146,1980-04-01,7.26114649681529
147,1980-05-01,7.070707070707082
148,1980-06-01,7.142857142857147
149,1980-07-01,7.730673316708232
150,1980-08-01,9.417596034696398
151,1980-09-01,10.062111801242246
152,1980-10-01,10.148514851485151
153,1980-11-01,10.467980295566502
154,1980-12-01,10.184049079754597
155,1981-01-01,10.072815533980597
156,1981-02-01,10.469314079422388
157,1981-03-01,10.059880239520965
158,1981-04-01,9.489916963226571
159,1981-05-01,8.716136631330967
160,1981-06-01,8.548009367681495
161,1981-07-01,8.381839348079149
